Date,Wordle,Word,Score
2021-06-19,0,cigar,5
2021-06-20,1,rebut,6
2021-06-21,2,sissy,9
2021-06-22,3,humph,7
2021-06-23,4,awake,9
2021-06-24,5,blush,5
2021-06-25,6,focal,3
2021-06-26,7,evade,7
2021-06-27,8,naval,8
2021-06-28,9,serve,8
2021-06-29,10,heath,5
2021-06-30,11,dwarf,6
2021-07-01,12,model,6
2021-07-02,13,karma,10
2021-07-03,14,stink,5
2021-07-04,15,grade,6
2021-07-05,16,quiet,5
2021-07-06,17,bench,4
2021-07-07,18,abate,3
2021-07-08,19,feign,5
2021-07-09,20,major,7
2021-07-10,21,death,4
2021-07-11,22,fresh,5
2021-07-12,23,crust,5
2021-07-13,24,stool,4
2021-07-14,25,colon,4
2021-07-15,26,abase,3
2021-07-16,27,marry,10
2021-07-17,28,react,3
2021-07-18,29,batty,7
2021-07-19,30,pride,7
2021-07-20,31,floss,10
2021-07-21,32,helix,6
2021-07-22,33,croak,3
2021-07-23,34,staff,6
2021-07-24,35,paper,11
2021-07-25,36,unfed,8
2021-07-26,37,whelp,11
2021-07-27,38,trawl,4
2021-07-28,39,outdo,8
2021-07-29,40,adobe,4
2021-07-30,41,crazy,9
2021-07-31,42,sower,8
2021-08-01,43,repay,7
2021-08-02,44,digit,5
2021-08-03,45,crate,3
2021-08-04,46,cluck,7
2021-08-05,47,spike,9
2021-08-06,48,mimic,7
2021-08-07,49,pound,9
2021-08-08,50,maxim,11
2021-08-09,51,linen,6
2021-08-10,52,unmet,8
2021-08-11,53,flesh,4
2021-08-12,54,booby,10
2021-08-13,55,forth,5
2021-08-14,56,first,4
2021-08-15,57,stand,4
2021-08-16,58,belly,6
2021-08-17,59,ivory,6
2021-08-18,60,seedy,6
2021-08-19,61,print,3
2021-08-20,62,yearn,5
2021-08-21,63,drain,4
2021-08-22,64,bribe,4
2021-08-23,65,stout,9
2021-08-24,66,panel,5
2021-08-25,67,crass,7
2021-08-26,68,flume,6
2021-08-27,69,offal,7
2021-08-28,70,agree,5
2021-08-29,71,error,4
2021-08-30,72,swirl,4
2021-08-31,73,argue,4
2021-09-01,74,bleed,4
2021-09-02,75,delta,4
2021-09-03,76,flick,4
2021-09-04,77,totem,8
2021-09-05,78,wooer,16
2021-09-06,79,front,3
2021-09-07,80,shrub,6
2021-09-08,81,parry,10
2021-09-09,82,biome,3
2021-09-10,83,lapel,8
2021-09-11,84,start,10
2021-09-12,85,greet,7
2021-09-13,86,goner,5
2021-09-14,87,golem,6
2021-09-15,88,lusty,4
2021-09-16,89,loopy,11
2021-09-17,90,round,5
2021-09-18,91,audit,6
2021-09-19,92,lying,4
2021-09-20,93,gamma,8
2021-09-21,94,labor,4
2021-09-22,95,islet,3
2021-09-23,96,civic,6
2021-09-24,97,forge,6
2021-09-25,98,corny,6
2021-09-26,99,moult,4
2021-09-27,100,basic,4
2021-09-28,101,salad,4
2021-09-29,102,agate,4
2021-09-30,103,spicy,5
2021-10-01,104,spray,10
2021-10-02,105,essay,4
2021-10-03,106,fjord,6
2021-10-04,107,spend,5
2021-10-05,108,kebab,6
2021-10-06,109,guild,5
2021-10-07,110,aback,5
2021-10-08,111,motor,5
2021-10-09,112,alone,3
2021-10-10,113,hatch,6
2021-10-11,114,hyper,9
2021-10-12,115,thumb,5
2021-10-13,116,dowry,7
2021-10-14,117,ought,8
2021-10-15,118,belch,4
2021-10-16,119,dutch,6
2021-10-17,120,pilot,4
2021-10-18,121,tweed,6
2021-10-19,122,comet,3
2021-10-20,123,jaunt,7
2021-10-21,124,enema,5
2021-10-22,125,steed,5
2021-10-23,126,abyss,8
2021-10-24,127,growl,4
2021-10-25,128,fling,5
2021-10-26,129,dozen,6
2021-10-27,130,boozy,14
2021-10-28,131,erode,6
2021-10-29,132,world,4
2021-10-30,133,gouge,6
2021-10-31,134,click,4
2021-11-01,135,briar,4
2021-11-02,136,great,4
2021-11-03,137,altar,4
2021-11-04,138,pulpy,9
2021-11-05,139,blurt,4
2021-11-06,140,coast,3
2021-11-07,141,duchy,5
2021-11-08,142,groin,3
2021-11-09,143,fixer,12
2021-11-10,144,group,11
2021-11-11,145,rogue,6
2021-11-12,146,badly,4
2021-11-13,147,smart,8
2021-11-14,148,pithy,8
2021-11-15,149,gaudy,7
2021-11-16,150,chill,5
2021-11-17,151,heron,4
2021-11-18,152,vodka,9
2021-11-19,153,finer,5
2021-11-20,154,surer,11
2021-11-21,155,radio,5
2021-11-22,156,rouge,7
2021-11-23,157,perch,6
2021-11-24,158,retch,4
2021-11-25,159,wrote,3
2021-11-26,160,clock,5
2021-11-27,161,tilde,3
2021-11-28,162,store,3
2021-11-29,163,prove,10
2021-11-30,164,bring,3
2021-12-01,165,solve,5
2021-12-02,166,cheat,4
2021-12-03,167,grime,9
2021-12-04,168,exult,4
2021-12-05,169,usher,6
2021-12-06,170,epoch,5
2021-12-07,171,triad,4
2021-12-08,172,break,4
2021-12-09,173,rhino,3
2021-12-10,174,viral,5
2021-12-11,175,conic,5
2021-12-12,176,masse,5
2021-12-13,177,sonic,3
2021-12-14,178,vital,6
2021-12-15,179,trace,3
2021-12-16,180,using,4
2021-12-17,181,peach,5
2021-12-18,182,champ,5
2021-12-19,183,baton,4
2021-12-20,184,brake,5
2021-12-21,185,pluck,6
2021-12-22,186,craze,9
2021-12-23,187,gripe,10
2021-12-24,188,weary,7
2021-12-25,189,picky,9
2021-12-26,190,acute,3
2021-12-27,191,ferry,6
2021-12-28,192,aside,4
2021-12-29,193,tapir,3
2021-12-30,194,troll,3
2021-12-31,195,unify,5
2022-01-01,196,rebus,5
2022-01-02,197,boost,3
2022-01-03,198,truss,6
2022-01-04,199,siege,7
2022-01-05,200,tiger,5
2022-01-06,201,banal,4
2022-01-07,202,slump,7
2022-01-08,203,crank,3
2022-01-09,204,gorge,6
2022-01-10,205,query,8
2022-01-11,206,drink,4
2022-01-12,207,favor,4
2022-01-13,208,abbey,4
2022-01-14,209,tangy,7
2022-01-15,210,panic,5
2022-01-16,211,solar,4
2022-01-17,212,shire,5
2022-01-18,213,proxy,10
2022-01-19,214,point,5
2022-01-20,215,robot,6
2022-01-21,216,prick,5
2022-01-22,217,wince,7
2022-01-23,218,crimp,6
2022-01-24,219,knoll,4
2022-01-25,220,sugar,6
2022-01-26,221,whack,6
2022-01-27,222,mount,4
2022-01-28,223,perky,10
2022-01-29,224,could,4
2022-01-30,225,wrung,7
2022-01-31,226,light,6
2022-02-01,227,those,3
2022-02-02,228,moist,6
2022-02-03,229,shard,5
2022-02-04,230,pleat,5
2022-02-05,231,aloft,4
2022-02-06,232,skill,4
2022-02-07,233,elder,5
2022-02-08,234,frame,5
2022-02-09,235,humor,4
2022-02-10,236,pause,5
2022-02-11,237,ulcer,4
2022-02-12,238,ultra,4
2022-02-13,239,robin,4
2022-02-14,240,cynic,5
2022-02-15,241,aroma,6
2022-02-16,242,caulk,5
2022-02-17,243,shake,7
2022-02-18,244,dodge,5
2022-02-19,245,swill,7
2022-02-20,246,tacit,4
2022-02-21,247,other,4
2022-02-22,248,thorn,4
2022-02-23,249,trove,6
2022-02-24,250,bloke,4
2022-02-25,251,vivid,9
2022-02-26,252,spill,5
2022-02-27,253,chant,3
2022-02-28,254,choke,5
2022-03-01,255,rupee,10
2022-03-02,256,nasty,4
2022-03-03,257,mourn,5
2022-03-04,258,ahead,4
2022-03-05,259,brine,3
2022-03-06,260,cloth,4
2022-03-07,261,hoard,4
2022-03-08,262,sweet,9
2022-03-09,263,month,5
2022-03-10,264,lapse,5
2022-03-11,265,watch,12
2022-03-12,266,today,3
2022-03-13,267,focus,5
2022-03-14,268,smelt,3
2022-03-15,269,tease,3
2022-03-16,270,cater,4
2022-03-17,271,movie,8
2022-03-18,272,saute,4
2022-03-19,273,allow,6
2022-03-20,274,renew,7
2022-03-21,275,their,4
2022-03-22,276,slosh,5
2022-03-23,277,purge,7
2022-03-24,278,chest,4
2022-03-25,279,depot,6
2022-03-26,280,epoxy,7
2022-03-27,281,nymph,8
2022-03-28,282,found,5
2022-03-29,283,shall,5
2022-03-30,284,stove,8
2022-03-31,285,lowly,9
2022-04-01,286,snout,4
2022-04-02,287,trope,5
2022-04-03,288,fewer,8
2022-04-04,289,shawl,5
2022-04-05,290,natal,4
2022-04-06,291,comma,6
2022-04-07,292,foray,7
2022-04-08,293,scare,3
2022-04-09,294,stair,3
2022-04-10,295,black,4
2022-04-11,296,squad,9
2022-04-12,297,royal,8
2022-04-13,298,chunk,4
2022-04-14,299,mince,3
2022-04-15,300,shame,6
2022-04-16,301,cheek,6
2022-04-17,302,ample,8
2022-04-18,303,flair,3
2022-04-19,304,foyer,6
2022-04-20,305,cargo,4
2022-04-21,306,oxide,5
2022-04-22,307,plant,4
2022-04-23,308,olive,3
2022-04-24,309,inert,3
2022-04-25,310,askew,6
2022-04-26,311,heist,6
2022-04-27,312,shown,6
2022-04-28,313,zesty,11
2022-04-29,314,trash,3
2022-04-30,315,larva,8
2022-05-01,316,forgo,8
2022-05-02,317,story,7
2022-05-03,318,hairy,6
2022-05-04,319,train,3
2022-05-05,320,homer,7
2022-05-06,321,badge,4
2022-05-07,322,midst,5
2022-05-08,323,canny,4
2022-05-09,324,shine,5
2022-05-10,325,gecko,5
2022-05-11,326,farce,3
2022-05-12,327,slung,3
2022-05-13,328,tipsy,4
2022-05-14,329,metal,6
2022-05-15,330,yield,7
2022-05-16,331,delve,5
2022-05-17,332,being,3
2022-05-18,333,scour,4
2022-05-19,334,glass,8
2022-05-20,335,gamer,7
2022-05-21,336,scrap,8
2022-05-22,337,money,7
2022-05-23,338,hinge,7
2022-05-24,339,album,5
2022-05-25,340,vouch,10
2022-05-26,341,asset,4
2022-05-27,342,tiara,3
2022-05-28,343,crept,3
2022-05-29,344,bayou,6
2022-05-30,345,atoll,3
2022-05-31,346,manor,4
2022-06-01,347,creak,3
2022-06-02,348,showy,11
2022-06-03,349,phase,7
2022-06-04,350,froth,5
2022-06-05,351,depth,6
2022-06-06,352,gloom,6
2022-06-07,353,flood,5
2022-06-08,354,trait,7
2022-06-09,355,girth,6
2022-06-10,356,piety,6
2022-06-11,357,goose,4
2022-06-12,358,float,5
2022-06-13,359,donor,4
2022-06-14,360,atone,3
2022-06-15,361,primo,5
2022-06-16,362,apron,5
2022-06-17,363,blown,4
2022-06-18,364,cacao,4
2022-06-19,365,loser,3
2022-06-20,366,input,5
2022-06-21,367,gloat,6
2022-06-22,368,awful,8
2022-06-23,369,brink,4
2022-06-24,370,smite,5
2022-06-25,371,beady,4
2022-06-26,372,rusty,5
2022-06-27,373,retro,5
2022-06-28,374,droll,3
2022-06-29,375,gawky,11
2022-06-30,376,hutch,7
2022-07-01,377,pinto,5
2022-07-02,378,egret,5
2022-07-03,379,lilac,5
2022-07-04,380,sever,8
2022-07-05,381,field,4
2022-07-06,382,fluff,8
2022-07-07,383,agape,5
2022-07-08,384,voice,3
2022-07-09,385,stead,5
2022-07-10,386,berth,4
2022-07-11,387,madam,5
2022-07-12,388,night,5
2022-07-13,389,bland,4
